s,s_sq,m
0,0,0
1.35667,1.84054,0.1
2.17333,4.72338,0.2
2.71,7.3441,0.3
2.98667,8.92018,0.4
3.37667,11.4019,0.5
3.70333,13.7147,0.6
3.85,14.8225,0.7
3.80667,14.4907,0.8

