,cart A,,
t,x,y,
6.254,0.509,1.527
6.287,,
6.321,,
6.355,1.018,1.442
6.389,1.357,1.442
6.423,1.527,1.187
6.456,1.866,1.187
6.490,2.036,1.103
6.524,2.545,1.272
6.558,2.969,1.103
6.592,3.562,1.103
6.625,4.156,1.103
6.659,4.580,1.103
6.693,5.004,1.103
6.727,6.192,1.103
6.761,6.955,1.103
6.794,7.719,1.103
6.828,8.906,1.103
6.862,9.754,1.103
6.896,10.69,1.103
6.930,11.37,1.103
6.963,12.64,1.018
6.997,13.57,0.933
7.031,14.76,0.933
7.065,15.69,0.933
7.099,16.79,0.763
7.132,17.90,0.763
7.166,18.91,0.763
7.200,20.27,0.763
