,cart B,,
t,x,y,
5.567,22.18,1.591
5.600,23.97,1.591
5.633,25.16,1.591
5.667,26.65,1.591
5.700,27.64,1.591
5.733,29.43,1.591
5.767,30.93,1.392
5.800,32.52,1.691
5.833,33.61,1.691
5.867,34.61,1.691
5.900,35.50,1.591
5.933,36.59,1.492
5.967,37.69,1.492
6.000,38.58,1.492
6.033,39.78,1.492
6.067,40.97,1.392
6.100,41.87,1.591
6.133,42.66,1.591
6.167,43.95,1.591
6.200,44.85,1.492
6.233,45.64,1.492
6.267,46.34,1.691
6.300,47.63,1.691
6.333,48.43,1.591
6.367,49.12,1.591
6.400,50.12,1.492
6.433,51.01,1.591
6.467,51.71,1.790
6.500,52.41,1.691
6.533,53.10,1.989
6.567,53.60,1.591
6.600,53.70,1.591
