,cart A,,
t,x,y,
8.030,-0.106,0.955
8.064,0.106,0.955
8.097,0.106,0.955
8.131,0.106,0.955
8.165,0.106,0.955
8.198,0.106,0.955
8.232,0.106,0.955
8.265,0.106,0.955
8.299,0.212,0.955
8.333,0.424,0.955
8.366,0.743,0.955
8.400,1.061,0.955
8.433,1.379,0.637
8.467,1.910,0.637
8.501,2.864,0.637
8.534,3.289,0.318
8.568,3.713,0.637
8.601,4.350,0.637
8.635,4.774,0.637
8.669,5.941,0.318
8.702,6.471,0.530
8.736,7.214,0.530
8.769,7.957,0.530
8.803,9.124,0.530
8.837,9.760,0.530
8.870,10.82,0.424
8.904,11.46,0.424
8.937,12.09,0.530
8.971,13.16,0.212
9.005,14.64,0.637
9.038,15.91,0.106
9.072,17.19,0.106
9.105,18.25,0.106
9.139,18.99,0.106
9.173,19.84,0.106
9.206,20.69,0.318
